9.0 0:0.5833333333333334 1:0.05788005578800558 2:0.03915111598975485 3:0.018524315146381858 4:0.0015486100076002843 5:0.9090909090909091 6:0.3372528370077299 7:0.0005897994085680599 8:0.0
9.0 0:0.5833333333333334 1:0.08089260808926081 2:0.026344676180021953 3:0.006048469715155917 4:0.00013975174314095074 5:0.7272727272727273 6:0.46973079282905883 7:0.0 8:0.0
9.0 0:0.5833333333333334 1:0.05439330543933055 2:0.0570801317233809 3:0.006814352782919181 4:0.00016814373244603185 5:0.7272727272727273 6:0.5005980104654337 7:9.343477956820566e-05 8:0.0
9.0 0:0.5833333333333334 1:0.0397489539748954 2:0.027442371020856202 3:0.009548100794035485 4:0.00048052790321382726 5:0.8181818181818182 6:0.40254797954772586 7:0.00032195272008569265 8:0.0
8.0 0:0.8333333333333334 1:0.0794979079497908 2:0.06842297841200147 3:0.0030865234046721906 4:0.00012843794604572802 5:1.0 6:0.30860666101728634 7:7.453585003819426e-05 8:0.0
8.0 0:0.6666666666666666 1:0.07880055788005579 2:0.038785217709476766 3:0.010209043580183853 4:0.0005280280316908968 5:0.8181818181818182 6:0.4122371039351303 7:5.245373086879383e-06 8:0.0
8.0 0:0.5833333333333334 1:0.056485355648535567 2:0.023783388218075376 3:0.00567179748127493 4:8.568257089651758e-05 5:0.6363636363636364 6:0.545837611552427 7:0.0 8:0.0
8.0 0:0.5833333333333334 1:0.043933054393305436 2:0.07939992682034394 3:0.010376554802536759 4:0.0006115831454412033 5:1.0 6:0.45265210045240667 7:0.0005402955697870038 8:0.0
8.0 0:0.5833333333333334 1:0.021617852161785217 2:0.06037321624588365 3:0.0040269195269787466 4:0.00011901611578782579 5:0.8181818181818182 6:0.28938639586191983 7:0.0 8:0.0005656389501178949
8.0 0:0.5833333333333334 1:0.06345885634588563 2:0.10830589096231248 3:0.006010062049666235 4:8.551754049722246e-05 5:0.6363636363636364 6:0.545330135801142 7:0.0 8:0.0
8.0 0:0.5 1:0.06206415620641562 2:0.02707647274057812 3:0.006676935893280734 4:0.0001042890563815806 5:0.8181818181818182 6:0.3178772994130182 7:5.69598344006151e-05 8:0.0
8.0 0:0.8333333333333334 1:0.12133891213389121 2:0.12001463593121112 3:0.0006389007114339711 4:1.1960688121908198e-05 5:1.0 6:0.2796630432740639 7:0.0 8:6.523970601549533e-10
8.0 0:0.75 1:0.12622036262203626 2:0.03329674350530552 3:0.004684087851865078 4:0.00020677417165539374 5:0.8181818181818182 6:0.3436055035471104 7:0.0 8:0.0
8.0 0:0.6666666666666666 1:0.08856345885634588 2:0.02854006586169045 3:0.0033972642964102255 4:5.8944095497283384e-05 5:0.6363636363636364 6:0.4801705037240665 7:0.0 8:0.0
8.0 0:0.5 1:0.09623430962343096 2:0.1287961946578851 3:0.007205016618982828 4:8.702861391335129e-05 5:0.7272727272727273 6:0.5257143921035207 7:2.2588888660405877e-05 8:0.0
8.0 0:0.5833333333333334 1:0.10669456066945607 2:0.054884742041712405 3:0.0050085501537336105 4:9.188374173397495e-05 5:0.6363636363636364 6:0.5999891448384816 7:0.0 8:0.0
8.0 0:0.6666666666666666 1:0.06834030683403068 2:0.050493962678375415 3:0.019110504010396323 4:0.003867530919486755 5:1.0 6:0.2929305940719362 7:0.0020529410705470495 8:0.0
8.0 0:0.5833333333333334 1:0.0794979079497908 2:0.06659348701061105 3:0.006831572738456536 4:0.00011089123899737894 5:0.6363636363636364 6:0.6647891482090428 7:0.0 8:0.0
8.0 0:0.6666666666666666 1:0.05230125523012552 2:0.016831320892791803 3:0.004310927275115637 4:8.631189628287575e-05 5:0.6363636363636364 6:0.5777798448463415 7:0.0 8:0.0
8.0 0:0.5 1:0.05160390516039052 2:0.05561653860226857 3:0.020262135142328868 4:0.00268803931763542 5:0.7272727272727273 6:0.7166195666608406 7:6.628262103202476e-06 8:0.0
8.0 0:0.5833333333333334 1:0.08228730822873083 2:0.019392608854738383 3:0.017586526814513767 4:0.0021288947229787716 5:0.7272727272727273 6:0.6122103626608698 7:0.0 8:0.0
8.0 0:1.0 1:0.20292887029288703 2:0.20014635931211122 3:0.0002271896450239662 4:7.637539888031835e-06 5:1.0 6:0.2409097761697481 7:0.0 8:0.0
8.0 0:0.9166666666666666 1:0.3926080892608089 2:0.24002927186242223 3:0.0022480964882000544 4:0.00010878085672190784 5:1.0 6:0.2487156286036186 7:0.0 8:0.0
8.0 0:0.5833333333333334 1:0.20292887029288703 2:0.04061470911086718 3:0.006093273791495761 4:0.0002542072080699732 5:0.9090909090909091 6:0.3992753582285635 7:0.00022815807223831253 8:0.0
8.0 0:0.5 1:0.08926080892608089 2:0.0867178924259056 3:0.007612492230194313 4:0.00013480211717566257 5:0.5454545454545454 6:0.7627247198170358 7:0.0 8:0.0
8.0 0:0.4166666666666667 1:0.10739191073919108 2:0.036223929747530186 3:0.008077407612513306 4:0.00010186175041780799 5:0.6363636363636364 6:0.6431660954020444 7:6.251064479593748e-07 8:0.0
8.0 0:0.6666666666666666 1:0.500697350069735 2:0.07427735089645078 3:0.004228516186237634 4:0.00038344363483971223 5:0.9090909090909091 6:0.1469351191071922 7:0.0003472068731416656 8:0.0
8.0 0:0.4166666666666667 1:0.1304044630404463 2:0.06878887669227955 3:0.023088220047606366 4:0.003357345518832918 5:0.7272727272727273 6:0.6528751475087102 7:2.5939934282527326e-07 8:0.00982057171306282
8.0 0:0.6666666666666666 1:0.028591352859135284 2:0.045371386754482254 3:0.004665724261821291 4:0.00015502557723181642 5:0.8181818181818182 6:0.25378936667422675 7:6.189645648147491e-05 8:0.0
8.0 0:0.4166666666666667 1:0.07880055788005579 2:0.0801317233809001 3:0.0089699165589913 4:0.00021509129811051773 5:0.6363636363636364 6:0.4938392123445436 7:0.0001543849543052444 8:0.0
